"addresses","lat","long"
", Tallinn",59.4369608,24.7535746
"A. Adamsoni tn, Tallinn",59.4328379,24.72886
"A. Adamsoni, Tallinn",59.4328379,24.72886
"A. H. Tammsaare tee, Tallinn",59.4058837,24.6979822
"A.Adamsoni, Tallinn",59.4328379,24.72886
"A.H. Tammsaare tee, Tallinn",59.4058837,24.6979822
"A.H.Tammsaare tee, Tallinn",59.4058837,24.6979822
"A.H.Tammsaare, Tallinn",59.4058837,24.6979822
"A.Weizenbergi, Tallinn",59.4383224,24.7875587
"Aarde, Tallinn",59.4377939,24.7118121
"Adamsoni, Tallinn",59.4328379,24.72886
"Aedvilja, Tallinn",59.4384676,24.7669954
"Aia, Tallinn",59.4387066,24.7511285
"Aiandi, Tallinn",59.4122394,24.6822975
"Akadeemia tee, Tallinn",59.4017992,24.6599846
"Akadeemia, Tallinn",59.4017992,24.6599846
"Akademia, Tallinn",59.4369608,24.7535746
"Alajaama, Tallinn",59.4006471,24.7239988
"Alvari, Tallinn",59.4462074,24.84261
"Amburi, Tallinn",59.4576349,24.6824378
"Angerja, Tallinn",59.4509609,24.7107173
"Ankru, Tallinn",59.4548485,24.6763696
"Anni, Tallinn",59.438922,24.8481112
"Ao, Tallinn",59.4338974,24.7268724
"Arbu, Tallinn",59.4422366,24.8451763
"Aru, Tallinn",59.4428584,24.7088137
"Astangu, Tallinn",59.4018228,24.6244565
"Asula , Tallinn",59.4170924,24.7363511
"Asula, Tallinn",59.4170924,24.7363511
"Asunduse, Tallinn",59.4313821,24.7893048
"Auna, Tallinn",59.4418859,24.7097911
"BRONEERITUD, Tallinn",59.4369608,24.7535746
"C. R. Jakobsoni, Tallinn",59.4327512,24.7702253
"E. Vilde tee, Tallinn",59.4039309,24.6741166
"E.Vilde tee, Tallinn",59.4039309,24.6741166
"E.Vilde, Tallinn",59.4039309,24.6741166
"Eha, Tallinn",59.4343,24.7283895
"Ehitajate tee, Tallinn",59.4066721,24.6675708
"EHITAJATE TEE, Tallinn",59.4066721,24.6675708
"Ehte, Tallinn",59.4427183,24.6992186
"Elektri, Tallinn",59.4007045,24.7218245
"Elektroni, Tallinn",59.3977329,24.7155972
"Endla, Tallinn",59.427797,24.7222758
"energia, Tallinn",59.3965783,24.7130694
"Energia, Tallinn",59.3965783,24.7130694
"Erika, Tallinn",59.4507597,24.7151377
"F. R. Faehlmanni, Tallinn",59.4360137,24.7766783
"F. R. Kreutzwaldi, Tallinn",NA,NA
"F.J.Wiedemanni, Tallinn",59.435997,24.7798456
"F.R.Faehlmanni, Tallinn",59.4360137,24.7766783
"F.R.Kreutzwaldi, Tallinn",NA,NA
"Faehlmanni, Tallinn",59.4360137,24.7766783
"Filmi, Tallinn",59.4412885,24.781332
"Filtri tee, Tallinn",59.4211314,24.763559
"Gildi, Tallinn",59.4288054,24.7688722
"Gonsiori tn., Tallinn",59.4339571,24.7708406
"Gonsiori, Tallinn",59.4339571,24.7708406
"Graniidi, Tallinn",59.4448969,24.7316465
"Haabersti, Tallinn",59.4211,24.6493999
"Haava, Tallinn",59.3846652,24.6995174
"Hagudi, Tallinn",59.4171301,24.7436424
"Halla, Tallinn",59.4227877,24.676623
"Hane, Tallinn",59.4108394,24.7080397
"Hansu, Tallinn",59.4357843,24.5562388
"Hargi, Tallinn",59.4259484,24.6152382
"Harju tn, Tallinn",59.4369608,24.7535746
"Harju, Tallinn",59.4369608,24.7535746
"Heina, Tallinn",59.4421796,24.7185639
"Helme , Tallinn",59.4386985,24.7008121
"Helme, Tallinn",59.4386985,24.7008121
"Hermanni, Tallinn",59.4301229,24.7752766
"Herne, Tallinn",59.425288,24.7548821
"Hobujaama, Tallinn",59.4384852,24.7582529
"Hooldekodu tee, Tallinn",59.4524459,24.9040487
"Hundipea, Tallinn",59.4540272,24.7158971
"Härjapea, Tallinn",59.4376605,24.7154683
"Härma, Tallinn",59.4409282,24.8355658
"Idakaare, Tallinn",59.3885365,24.6901696
"Ilmarise, Tallinn",59.3692003,24.6715818
"Ilvese, Tallinn",59.3636837,24.6396086
"Imanta, Tallinn",59.4291994,24.7614217
"Invaliidi, Tallinn",59.4257681,24.7513167
"J. Kappeli, Tallinn",59.4289426,24.7778456
"J. Koorti, Tallinn",59.4410093,24.8311788
"J. Kunderi, Tallinn",59.4324889,24.7714268
"J. Poska, Tallinn",59.4371945,24.7838576
"J. Sütiste tee, Tallinn",59.3975564,24.689912
"J. Vilmsi, Tallinn",59.4340213,24.7777791
"J.Koorti, Tallinn",59.4410093,24.8311788
"J.Kunderi, Tallinn",59.4324889,24.7714268
"J.Köleri, Tallinn",59.437537,24.7784637
"J.Poska, Tallinn",59.4371945,24.7838576
"J.Sütiste tee, Tallinn",59.3975564,24.689912
"J.Sütiste, Tallinn",59.3975564,24.689912
"J.Vilmsi, Tallinn",59.4340213,24.7777791
"Jaama, Tallinn",59.3870852,24.6847155
"Jahu, Tallinn",59.4460893,24.7431378
"Jakobi, Tallinn",59.4285795,24.7688156
"Jakobsoni, Tallinn",59.4327512,24.7702253
"Jalaka, Tallinn",59.3725382,24.7141058
"Joa, Tallinn",59.4425531,24.8037179
"Juhkentali, Tallinn",59.4231955,24.770046
"Juhtme, Tallinn",59.4061506,24.8127594
"Juurdeveo, Tallinn",59.413874,24.7432918
"Jõe, Tallinn",59.439552,24.7637228
"Jõeküla tee, Tallinn",59.4403278,24.5911781
"Jõeoti, Tallinn",59.4412062,24.5838827
"Järve, Tallinn",59.3975455,24.7144038
"Järveotsa tee, Tallinn",59.4081625,24.6424098
"Järveotsa, Tallinn",59.4081625,24.6424098
"Järvevana tee, Tallinn",59.4127853,24.7584343
"JÄRVEVANA tee, Tallinn",59.4127853,24.7584343
"K. Kärberi, Tallinn",59.4463322,24.8858262
"K.A.Hermanni, Tallinn",59.4301229,24.7752766
"K.Kärberi, Tallinn",59.4463322,24.8858262
"Kaarli pst, Tallinn",59.4324481,24.7401611
"Kaarli pst., Tallinn",59.4324481,24.7401611
"Kadaka pst, Tallinn",59.3824003,24.6381791
"Kadaka tee, Tallinn",59.4072559,24.6608194
"Kaera, Tallinn",59.4455252,24.7063133
"Kajaka, Tallinn",59.4090521,24.7155473
"Kalamaja, Tallinn",59.4481239,24.7303172
"Kalda, Tallinn",59.3781479,24.6261621
"Kalevala, Tallinn",59.378625,24.6456282
"Kalevipoja põik, Tallinn",59.4381239,24.8300559
"Kalevipoja, Tallinn",59.4363254,24.8318215
"Kalju, Tallinn",59.4458294,24.7353191
"Kalmistu tee, Tallinn",59.3857723,24.7278789
"Kaluri, Tallinn",59.4590016,24.6660809
"Kangru, Tallinn",59.4527515,24.6890028
"Kappeli, Tallinn",59.4289426,24.7778456
"Kari, Tallinn",59.4466416,24.6935419
"Karsti tn., Tallinn",59.3947241,24.6410823
"Karsti, Tallinn",59.3947241,24.6410823
"Karu, Tallinn",59.4389037,24.767089
"Karukella tee, Tallinn",59.4620298,24.8800218
"Karukella, Tallinn",59.3507662,24.7757717
"Kase, Tallinn",59.4552148,24.8374195
"Kasvu, Tallinn",59.4313671,24.7155889
"Katleri, Tallinn",59.4491777,24.8505979
"Katusepapi, Tallinn",59.4265305,24.7872783
"Kauba, Tallinn",59.4167635,24.7454241
"Kaubamaja, Tallinn",59.4342263,24.7560175
"Kauge, Tallinn",59.3714773,24.7155575
"Kauna, Tallinn",59.4217539,24.7529965
"Kaupmehe, Tallinn",59.4305658,24.7536771
"Keemia, Tallinn",59.4249288,24.706699
